Brand,Number,Name,Link,Image Address,LocalImage,Color,Finish
DND,317,Cookie Chips,https://www.dndgel.com/products/cookie-chips-317,https://www.dndgel.com/cdn/shop/files/DC-317-FS.png?v=1755194820&width=1346,public/images/317-Cookie_Chips.png,Brown,Cream
DND,209,Coral Breeze,https://www.dndgel.com/products/coral-breeze-diva-209,https://www.dndgel.com/cdn/shop/files/DV-209-SWATCH.png?v=1755192921&width=1346,public/images/209-Coral_Breeze.png,"Orange, Pink",Cream
DND,43,Dark Salmon,https://www.dndgel.com/products/dark-salmon-043,https://www.dndgel.com/cdn/shop/files/DC-043-SWATCH.jpg?v=1755193571&width=823,public/images/43-Dark_Salmon.jpg,Purple,Cream
DND,299,Dream World,https://www.dndgel.com/products/dream-world-299,https://www.dndgel.com/cdn/shop/files/DC-299-SWATCH.png?v=1755194797&width=823,public/images/299-Dream_World.png,Neutral,Cream
DND,178,Farm Brown aka Fawn Over Me,https://www.dndgel.com/products/fawn-over-me-diva-178,https://www.dndgel.com/cdn/shop/files/DIVA-178-HS-COMPARISON.jpg?v=1755192841&width=1346,public/images/178-Farm_Brown_aka_Fawn_Over_Me.jpg,"Brown, Neutral",Cream
DND,39,Fire Brick,https://www.dndgel.com/products/fire-brick-039,https://www.dndgel.com/cdn/shop/products/dc_swatch_039.jpg?v=1762198939&width=823,public/images/39-Fire_Brick.jpg,"Pink, Red",Cream
DND,67,Fire Engine Red,https://www.dndgel.com/products/fire-engine-red-067,https://www.dndgel.com/cdn/shop/products/dc_swatch_067.jpg?v=1762198921&width=823,public/images/67-Fire_Engine_Red.jpg,Red,Cream
DND,34,Fur-st Place,https://www.dndgel.com/products/9d-cat-eye-35,https://www.dndgel.com/cdn/shop/files/DIVA-9DCE-34_3.jpg?v=1755192448&width=823,public/images/34-Fur-st_Place.jpg,Orange,Cat Eye
DND,769,Glistening Sky,https://www.dndgel.com/products/glistening-sky-769,https://www.dndgel.com/cdn/shop/products/769.jpg?v=1762197928&width=1346,public/images/769-Glistening_Sky.jpg,Red,Glitter
DND,607,Hazelnut,https://www.dndgel.com/products/hazelnut-607,https://www.dndgel.com/cdn/shop/files/DND-607-SWATCH.png?v=1760459836&width=1346,public/images/607-Hazelnut.png,"Pink, Purple",Cream
